date/time,x,y,z,rx,ry,rz
2021-04-11 22:27:20.308218,-0.4600000438832764, -0.4000009942161413, 0.3819998012538125, 4.0303670193680895e-07, 8.995330282389444e-08, -1.5707000372686706
2021-04-11 22:27:20.397680,-0.46000003862674366, -0.4000009876492917, 0.38206374784816, 4.0303670197223065e-07, 8.995330283546034e-08, -1.5707000372686704
2021-04-11 22:27:20.406164,-0.46000006048307973, -0.40000101495373014, 0.3821439602621297, -1.233693714249955e-07, 3.16412594646701e-08, -1.5707000372686981
2021-04-11 22:27:20.414654,-0.46000006048307973, -0.40000101495373014, 0.3821439602621297, -1.233693714249955e-07, 3.16412594646701e-08, -1.5707000372686981
2021-04-11 22:27:20.423139,-0.4600000301459777, -0.4000009770544622, 0.38225601022045963, -1.2336937145224198e-07, 3.16412594633349e-08, -1.5707000372686983
2021-04-11 22:27:20.431781,-0.45999996584854874, -0.400000896729567, 0.382400131271435, -1.2336937146314088e-07, 3.1641259463334564e-08, -1.5707000372686981
2021-04-11 22:27:20.440276,-0.45999995837554086, -0.4000008873937048, 0.38257608523447106, -1.2336937146586563e-07, 3.164125945721766e-08, -1.5707000372686981
2021-04-11 22:27:20.448768,-0.4599999919875142, -0.4000009293840659, 0.3827840616989021, -1.2336937152036023e-07, 3.164125946811659e-08, -1.5707000372686981
2021-04-11 22:27:20.457307,-0.46000000170405764, -0.40000094152257326, 0.3830238329716244, 4.0303670195860713e-07, 8.995330280209603e-08, -1.5707000372686704
2021-04-11 22:27:20.465795,-0.46000002115454963, -0.40000096582139977, 0.3832958663890765, 4.030367019790421e-07, 8.9953302871216e-08, -1.5707000372686706
2021-04-11 22:27:20.474402,-0.46000000038497946, -0.4000009398744994, 0.3835999804515822, -1.2336937146314104e-07, 3.164125946333434e-08, -1.5707000372686981
2021-04-11 22:27:20.483011,-0.45999996762555245, -0.40000089894902024, 0.3839360358010512, -1.2336937145224198e-07, 3.1641259474233926e-08, -1.5707000372686983
2021-04-11 22:27:20.491536,-0.46000001997157897, -0.40000096434321913, 0.3843040289939989, -1.2336937149175106e-07, 3.164125948207374e-08, -1.5707000372686981
2021-04-11 22:27:20.500250,-0.459999981301336, -0.4000009160335141, 0.3847040207744379, -1.2336937148221416e-07, 3.164125947490147e-08, -1.5707000372686981
2021-04-11 22:27:20.508819,-0.4600000122271015, -0.400000954668003, 0.38513586390908855, 4.030367019122864e-07, 8.99533028395746e-08, -1.5707000372686706
2021-04-11 22:27:20.517393,-0.4600000099045306, -0.4000009517663325, 0.385599941798227, -1.2336937145088005e-07, 3.164125950453989e-08, -1.570700037268698
2021-04-11 22:27:20.526067,-0.4600000099045306, -0.4000009517663325, 0.385599941798227, -1.2336937145088005e-07, 3.164125950453989e-08, -1.570700037268698
2021-04-11 22:27:20.534709,-0.4600000425237295, -0.4000009925163558, 0.3860957861975634, 4.030367019395344e-07, 8.995330279597893e-08, -1.5707000372686706
2021-04-11 22:27:20.543377,-0.46000003083924906, -0.4000009779191119, 0.38662401282570025, -1.2336937150673674e-07, 3.164125942930282e-08, -1.5707000372686981
2021-04-11 22:27:20.551966,-0.46000003083924906, -0.4000009779191119, 0.38662401282570025, -1.2336937150673674e-07, 3.164125942930282e-08, -1.5707000372686981
2021-04-11 22:27:20.560630,-0.4600000151120312, -0.4000009582711925, 0.38777579429804704, 4.030367020158263e-07, 8.995330282456142e-08, -1.5707000372686704
2021-04-11 22:27:20.569329,-0.46000002902493786, -0.4000009756519643, 0.38839977511011897, 4.0303670198176734e-07, 8.99533028324019e-08, -1.5707000372686704
