date/time,j1,j2,j3,j4,j5,j6
2021-04-11 22:27:21.573641,-2.237429443989889, -1.830864731465475, -1.2279494444476526, -1.653576676045553, 1.570794701576233, 0.9040666818618774
2021-04-11 22:27:21.582328,-2.2365625540362757, -1.8296201864825647, -1.2295416037188929, -1.6532295385943812, 1.570794701576233, 0.9049339890480042
2021-04-11 22:27:21.590997,-2.2356513182269495, -1.8283160368548792, -1.2312071959124964, -1.652867619191305, 1.5707948207855225, 0.905845046043396
2021-04-11 22:27:21.599548,-2.2346962133990687, -1.8269527594195765, -1.2329466978656214, -1.6524913946734827, 1.5707948207855225, 0.9067999720573425
2021-04-11 22:27:21.608229,-2.2346962133990687, -1.8269527594195765, -1.2329466978656214, -1.6524913946734827, 1.5707948207855225, 0.9067999720573425
2021-04-11 22:27:21.616839,-2.2346962133990687, -1.8269527594195765, -1.2329466978656214, -1.6524913946734827, 1.5707948207855225, 0.9067999720573425
2021-04-11 22:27:21.625440,-2.2326539198504847, -1.8240507284747522, -1.2366440931903284, -1.651696507130758, 1.5707948207855225, 0.9088425636291504
2021-04-11 22:27:21.634058,-2.231565777455465, -1.8225119749652308, -1.2386005560504358, -1.651278320943014, 1.5707948207855225, 0.9099307060241699
2021-04-11 22:27:21.643065,-2.2304328123675745, -1.8209155241595667, -1.2406280676471155, -1.6508477369891565, 1.5707948207855225, 0.9110636115074158
2021-04-11 22:27:21.651670,-2.2292545477496546, -1.8192608992206019, -1.2427261511432093, -1.6504038015948694, 1.5707948207855225, 0.9122416973114014
2021-04-11 22:27:21.660384,-2.2292545477496546, -1.8192608992206019, -1.2427261511432093, -1.6504038015948694, 1.5707948207855225, 0.9122416973114014
2021-04-11 22:27:21.668971,-2.2280314604388636, -1.8175490538226526, -1.2448943297015589, -1.6499479452716272, 1.5707948207855225, 0.913465142250061
2021-04-11 22:27:21.680540,-2.226762119923727, -1.8157795111285608, -1.247131649647848, -1.6494796911822718, 1.5707948207855225, 0.9147342443466187
2021-04-11 22:27:21.689147,-2.2254470030414026, -1.813953701649801, -1.24943715730776, -1.6489999930011194, 1.5707948207855225, 0.9160493016242981
2021-04-11 22:27:21.697721,-2.2240856329547327, -1.812070671712057, -1.2518108526812952, -1.6485093275653284, 1.5707948207855225, 0.9174106121063232
2021-04-11 22:27:21.706370,-2.222678009663717, -1.8101313749896448, -1.254251782094137, -1.6480076948748987, 1.5707948207855225, 0.918818473815918
2021-04-11 22:27:21.714889,-2.2212231794940394, -1.8081358114825647, -1.256758991871969, -1.6474960486041468, 1.5707948207855225, 0.9202732443809509
2021-04-11 22:27:21.723516,-2.2197211424456995, -1.806084934865133, -1.259332005177633, -1.6469739119159144, 1.5707948207855225, 0.9217751622200012
2021-04-11 22:27:21.732054,-2.2181718985186976, -1.8039782683001917, -1.2619698683368128, -1.646442715321676, 1.5707948207855225, 0.923324704170227
2021-04-11 22:27:21.740664,-2.216574494038717, -1.801816765462057, -1.2646716276751917, -1.645902458821432, 1.5707948207855225, 0.9249221086502075
2021-04-11 22:27:21.749205,-2.2149284521686, -1.7995999495135706, -1.2674372831927698, -1.6453536192523401, 1.5707948207855225, 0.9265678524971008
2021-04-11 22:27:21.758212,-2.2149284521686, -1.7995999495135706, -1.2674372831927698, -1.6453536192523401, 1.5707948207855225, 0.9265678524971008
2021-04-11 22:27:21.766756,-2.213234249745504, -1.7973292509662073, -1.2702649275409144, -1.6447966734515589, 1.5707948207855225, 0.9282621741294861
2021-04-11 22:27:21.775265,-2.2114909330951136, -1.7950041929828089, -1.2731545607196253, -1.6442325750934046, 1.5707948207855225, 0.9300056099891663
2021-04-11 22:27:21.783860,-2.20969802538027, -1.7926257292376917, -1.276104752217428, -1.643660847340719, 1.5707948207855225, 0.93179851770401
2021-04-11 22:27:21.792401,-2.20969802538027, -1.7926257292376917, -1.276104752217428, -1.643660847340719, 1.5707948207855225, 0.93179851770401
2021-04-11 22:27:21.801088,-2.2078550497638147, -1.7901933828936976, -1.2791150251971644, -1.6430824438678187, 1.5707948207855225, 0.933641254901886
2021-04-11 22:27:21.809763,-2.2059620062457483, -1.7877081076251429, -1.2821844259845179, -1.6424983183490198, 1.5707948207855225, 0.9355342984199524
2021-04-11 22:27:21.818416,-2.2040184179889124, -1.7851703802691858, -1.2853120009051722, -1.6419084707843226, 1.5707948207855225, 0.9374780654907227
2021-04-11 22:27:21.827199,-2.2040184179889124, -1.7851703802691858, -1.2853120009051722, -1.6419084707843226, 1.5707948207855225, 0.9374780654907227
2021-04-11 22:27:21.835857,-2.2020233313189905, -1.7825802008258265, -1.288497273121969, -1.641313378010885, 1.5707948207855225, 0.9394729733467102
2021-04-11 22:27:21.844559,-2.1999767462359827, -1.7799385229693812, -1.2917383352862757, -1.6407139937030237, 1.5707948207855225, 0.9415196180343628
2021-04-11 22:27:21.853237,-2.1999767462359827, -1.7799385229693812, -1.2917383352862757, -1.6407139937030237, 1.5707948207855225, 0.9415196180343628
2021-04-11 22:27:21.861919,-2.1978781859027308, -1.77724534669985, -1.295035187398092, -1.6401103178607386, 1.5707948207855225, 0.9436183571815491
2021-04-11 22:27:21.870606,-2.1957266966449183, -1.7745006720172327, -1.2983868757831019, -1.6395037809955042, 1.5707948207855225, 0.945769727230072
2021-04-11 22:27:21.879252,-2.193522278462545, -1.771705452595846, -1.3017919699298304, -1.6388934294330042, 1.5707948207855225, 0.9479742050170898
2021-04-11 22:27:21.893688,-2.191263977681295, -1.768860165272848, -1.3052495161639612, -1.6382811705218714, 1.5707948207855225, 0.9502323269844055
2021-04-11 22:27:21.902404,-2.191263977681295, -1.768860165272848, -1.3052495161639612, -1.6382811705218714, 1.5707948207855225, 0.9502323269844055
2021-04-11 22:27:21.911019,-2.1889517943011683, -1.7659652868853968, -1.3087590376483362, -1.6376670042621058, 1.5707948207855225, 0.9525445699691772
2021-04-11 22:27:21.919532,-2.186584774647848, -1.7630203405963343, -1.3123186270343226, -1.6370518843280237, 1.5707948207855225, 0.9549115896224976
2021-04-11 22:27:21.928044,-2.184162441884176, -1.7600272337542933, -1.3159287611590784, -1.636435333882467, 1.5707948207855225, 0.9573338627815247
2021-04-11 22:27:21.936535,-2.1816843191729944, -1.7569850126849573, -1.3195870558368128, -1.6358192602740687, 1.5707948207855225, 0.9598119854927063
2021-04-11 22:27:21.945145,-2.179149929677145, -1.753895107899801, -1.3232930342303675, -1.6352031866656702, 1.5707948207855225, 0.9623464941978455
2021-04-11 22:27:21.954166,-2.176558319722311, -1.7507575193988245, -1.327045742665426, -1.6345880667315882, 1.570794939994812, 0.9649380445480347
2021-04-11 22:27:21.962634,-2.1739090124713343, -1.7475727240191858, -1.330843750630514, -1.633974854146139, 1.570794939994812, 0.9675872921943665
